# AuxiliaryHangulDecompositions-5.0.0d3.txt
# =========================================
#
# This is a data file to be used on top of the standard datafile
# UnicodeData-5.0.0.txt and the arithmetic canonical decomposition of
# precomposed Hangul syllable characters. Later versions of the
# UnicodeData.txt datafile may be suitable to use without any change
# to this data file.
#
# Only the Hangul characters that have a decomposition mapping
# that is DIFFERENT from that found in UnicodeData-5.0.0.txt are
# listed in this datafile.
#
# The use of the data in this file is described in Unicode Technical
# Note NN, "Auxiliary character decompositions for supporting Hangul".
#
# Note that the standard normalisations according to UAX 15 must use
# the decompositions in the UnicodeData.txt datafile only. The auxiliary
# decomposition mappings listed in this data file are intended for 
# applications that do additional decomposition or composition of Hangul
# data (e.g., collation, rendering, or "hypernormalisation" called for
# by a user editing command, or other specified "hypernormalisations"
# using this data). It may be possible to use this data together with
# other composition data, that are either on top of this data (like
# those in AuxiliaryKSX1001Decompositions.txt) or are independent of
# the auxiliary data given here.
#
# Format:
#   Field 1: Unicode code point (the entries are ordered on this field),
#   Field 2: auxiliary decomposition mapping (overrides UnicodeData.txt),
#   Finally, in a comment, the character name and some additional comments.
#
11B4; 11AF 11C0	# HANGUL JONGSEONG RIEUL-THIEUTH
11B5; 11AF 11C1	# HANGUL JONGSEONG RIEUL-PHIEUPH
11B6; 11AF 11C2	# HANGUL JONGSEONG RIEUL-HIEUH
11B9; 11B8 11BA	# HANGUL JONGSEONG PIEUP-SIOS
11BB; 11BA 11BA	# HANGUL JONGSEONG SSANGSIOS
#
11C3; 11A8 11AF	# HANGUL JONGSEONG KIYEOK-RIEUL
11C4; 11AA 11A8	# HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK, [11A8 11BA 11A8, 11A8 11E7]
11C5; 11AB 11A8	# HANGUL JONGSEONG NIEUN-KIYEOK
11C6; 11AB 11AE	# HANGUL JONGSEONG NIEUN-TIKEUT
11C7; 11AB 11BA	# HANGUL JONGSEONG NIEUN-SIOS
11C8; 11AB 11EB	# HANGUL JONGSEONG NIEUN-PANSIOS
11C9; 11AB 11C0	# HANGUL JONGSEONG NIEUN-THIEUTH
11CA; 11AE 11A8	# HANGUL JONGSEONG TIKEUT-KIYEOK
11CB; 11AE 11AF	# HANGUL JONGSEONG TIKEUT-RIEUL
11CC; 11B0 11BA	# HANGUL JONGSEONG RIEUL-KIYEOK-SIOS, [11AF 11A8 11BA, 11AF 11AA]
11CD; 11AF 11AB	# HANGUL JONGSEONG RIEUL-NIEUN
11CE; 11AF 11AE	# HANGUL JONGSEONG RIEUL-TIKEUT
11CF; 11CE 11C2	# HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH, [11AF 11AE 11C2]
11D0; 11AF 11AF	# HANGUL JONGSEONG SSANGRIEUL
11D1; 11B1 11A8	# HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK, [11AF 11B7 11A8, 11AF 11DA]
11D2; 11B1 11BA	# HANGUL JONGSEONG RIEUL-MIEUM-SIOS, [11AF 11B7 11BA, 11AF 11DD]
11D3; 11B2 11BA	# HANGUL JONGSEONG RIEUL-PIEUP-SIOS, [11AF 11B8 11BA, 11AF 11B8 11BA]
11D4; 11B2 11C2	# HANGUL JONGSEONG RIEUL-PIEUP-HIEUH, [11AF 11B8 11C2, 11AF 11E5]
11D5; 11B2 11BC	# HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP (RIEUL-PIEUP-IEUNG, according to HCH)
11D6; 11B3 11BA	# HANGUL JONGSEONG RIEUL-SSANGSIOS, [11AF 11BA 11BA, 11AF 11BB]
11D7; 11AF 11EB	# HANGUL JONGSEONG RIEUL-PANSIOS
11D8; 11AF 11BF	# HANGUL JONGSEONG RIEUL-KHIEUKH
11D9; 11AF 11F9	# HANGUL JONGSEONG RIEUL-YEORINHIEUH
11DA; 11B7 11A8	# HANGUL JONGSEONG MIEUM-KIYEOK
11DB; 11B7 11AF	# HANGUL JONGSEONG MIEUM-RIEUL
11DC; 11B7 11B8	# HANGUL JONGSEONG MIEUM-PIEUP
11DD; 11B7 11BA	# HANGUL JONGSEONG MIEUM-SIOS
11DE; 11DD 11BA	# HANGUL JONGSEONG MIEUM-SSANGSIOS, [11B7 11BA 11BA, 11B7 11BB]
11DF; 11B7 11EB	# HANGUL JONGSEONG MIEUM-PANSIOS
11E0; 11B7 11BE	# HANGUL JONGSEONG MIEUM-CHIEUCH
11E1; 11B7 11C2	# HANGUL JONGSEONG MIEUM-HIEUH
11E2; 11B7 11BC	# HANGUL JONGSEONG KAPYEOUNMIEUM (MIEUM-IEUNG, generalised from HCH)
11E3; 11B8 11AF	# HANGUL JONGSEONG PIEUP-RIEUL
11E4; 11B8 11C1	# HANGUL JONGSEONG PIEUP-PHIEUPH
11E5; 11B8 11C2	# HANGUL JONGSEONG PIEUP-HIEUH
11E6; 11B8 11BC	# HANGUL JONGSEONG KAPYEOUNPIEUP (PIEUP-IEUNG, according to HCH)
11E7; 11BA 11A8	# HANGUL JONGSEONG SIOS-KIYEOK
11E8; 11BA 11AE	# HANGUL JONGSEONG SIOS-TIKEUT
11E9; 11BA 11AF	# HANGUL JONGSEONG SIOS-RIEUL
11EA; 11BA 11B8	# HANGUL JONGSEONG SIOS-PIEUP
11EC; 11F0 11A8	# HANGUL JONGSEONG IEUNG-KIYEOK (YESIEUNG-KIYEOK, *not* ieung;  was: 11BC 11A8)
11ED; 11EC 11A8	# HANGUL JONGSEONG IEUNG-SSANGKIYEOK (YESIEUNG-SSANGKIYEOK, *not* ieung), [11F0 11A8 11A8, 11F0 11A9]
11EE; 11F0 11F0	# HANGUL JONGSEONG SSANGIEUNG (SSANGYESIEUNG, *not* ieung;  was: 11BC 11BC)
11EF; 11F0 11BF	# HANGUL JONGSEONG IEUNG-KHIEUKH (YESIEUNG-KHIEUKH, *not* ieung;  was: 11BC 11BF)
11F1; 11F0 11BA	# HANGUL JONGSEONG YESIEUNG-SIOS
11F2; 11F0 11EB	# HANGUL JONGSEONG YESIEUNG-PANSIOS
11F3; 11C1 11B8	# HANGUL JONGSEONG PHIEUPH-PIEUP
